표준버스정류장ID,버스정류장ARS번호,역명
100000001,01001,종로2가사거리
100000002,01002,창경궁.서울대학교병원
100000003,01003,명륜3가.성대입구
100000004,01004,종로2가.삼일교
100000005,01005,혜화동로터리.여운형활동터
100000006,01101,경기상고
100000007,01102,신교동
100000008,01103,경기상고
100000009,01104,경복고교
100000010,01105,청운중학교
100000011,01106,자하문고개.윤동주문학관
100000012,01107,자하문고개.윤동주문학관
100000013,01108,청운중학교
100000014,01109,경복고교
100000015,01110,통인시장종로구보건소
100000016,01111,통인시장종로구보건소
100000017,01112,효자동
100000018,01113,사직단.어린이도서관
100000019,01114,사직동주민센터
100000020,01115,경복궁역
100000021,01116,경복궁역
100000022,01117,경복궁
100000023,01118,KT광화문지사
100000025,01120,광화문
100000028,01123,서울역사박물관.경교장.강북삼성병원
100000029,01124,광화문.금호아시아나본관앞
100000030,01125,광화문
100000031,01126,세종문화회관
100000032,01127,서울지방경찰청.경복궁역
100000033,01128,사직단
100000034,01129,광화문광화문빌딩
100000035,01130,덕성여중고
100000036,01131,안국역.종로경찰서.인사동
100000037,01132,국민은행세검정지점
100000038,01133,세검정초등학교
100000039,01134,세검정.상명대
100000040,01135,상명대입구.석파랑
100000041,01136,하림각
100000042,01137,자하문터널입구.석파정
100000043,01138,부암동주민센터.무계원
100000044,01139,부암동주민센터.무계원
100000045,01140,자하문터널입구.석파정
100000046,01141,하림각
100000047,01142,상명대입구.세검정교회
100000048,01143,세검정.상명대
100000049,01144,세검정초등학교
100000051,01146,국민은행세검정지점
100000053,01148,승가사입구
100000054,01149,구기동현대빌라
100000055,01150,구기터널.삼성출판박물관
100000056,01151,구기터널.삼성출판박물관
100000057,01152,구기동
100000058,01153,구기동
100000059,01154,승가사입구
100000060,01155,갑을씨티텔앞
100000061,01156,평창파출소
100000062,01157,평창동주민센터
100000063,01158,일성아파트
100000064,01159,롯데아파트
100000065,01160,롯데아파트
100000066,01161,벽산평창힐스아파트
100000067,01162,예능교회
100000068,01163,서울예술고등학교.평창동주민센터
100000069,01164,화정박물관
100000072,01167,독립문역.서대문형무소역사관
100000073,01168,서대문.서울시교육청
100000075,01171,독립문
100000076,01172,창덕궁
100000077,01173,무교동
100000078,01174,청계1가.광교
100000079,01175,청계2가.수표교
100000080,01176,청계4가.세운교
100000081,01177,청계5가.광장시장
100000102,01198,원남동
100000103,01199,창덕궁.우리소리박물관
100000104,01200,안국역.종로경찰서.인사동
100000105,01201,조계사
100000106,01202,조계사
100000107,01203,안국동
100000108,01204,종로5가.효제동.김상옥의거터
100000109,01205,종로5가.효제초등학교
100000116,01212,종로5가
100000117,01213,청계6가.동대문시장
