bus_stop_id,bus_stop_ars,bus_stop_name,sum
100000028,1123,서울역사박물관.경교장.강북삼성병원,3810
100000190,1288,종로중부새마을금고,2983
100000362,13037,영천시장,10458
100000363,13036,영천시장,5891
100000365,1037,동대문(흥인지문),9885
100000366,1041,동묘앞,8480
100000367,1044,동묘앞,6756
100000368,1169,서대문역사거리.적십자병원,7467
100000380,1007,서울역사박물관.경희궁앞,5059
100000384,1009,광화문,8398
100000385,1010,광화문,3955
100000386,1011,종로1가,8012
100000387,1012,종로1가,4585
100000388,1013,종로2가,6403
100000389,1014,종로2가,3939
100000390,1015,종로3가.탑골공원,5831
100000391,1016,종로3가.탑골공원,4710
100000392,1017,종로4가.종묘,4734
100000393,1018,종로4가.종묘,3465
100000394,1019,종로5가.광장시장,9278
100000395,1020,종로5가.광장시장,4820
100000396,1021,종로6가.동대문종합시장,6394
100000397,1022,종로6가.동대문종합시장,5906
100000398,1023,동대문역.흥인지문,18828
101000071,2170,광희동,3367
101000072,2171,광희동,16949
101000074,2173,동대문역사문화공원,5134
101000075,2174,동대문역사문화공원,9539
101000099,2203,장충동.동국대입구,10108
101000100,2204,장충동.동국대입구,5221
101000105,2209,국립극장.반얀트리호텔,6965
101000106,2210,국립극장.반얀트리호텔,9373
101000262,2281,서대문역사거리.농협중앙회,7948
102000064,3158,장충단로입구,3380
102000066,3160,서울중부기술교육원.블루스퀘어,4860
102000067,3161,서울시중부기술교육원.블루스퀘어,7844
102000068,3162,순천향대학병원,4905
102000071,3165,순천향대학병원.한남오거리,14825
102000072,3166,한남5거리,8054
103000002,4002,청년회의소.서울새활용플라자,3500
103000003,4003,장한평역,3394
103000017,4116,마장동주민센터,4597
103000018,4117,마장역,3330
103000019,4118,성동노인복지관,3215
103000024,4123,마장동금호아파트,1532
103000025,4124,마장동금호아파트,6494
103000026,4125,한양대부속고등학교,1666
103000027,4126,한양대부속고등학교,4915
103000028,4127,한양대앞.한양시장,2069
103000030,4129,한양대정문,6542
103000031,4130,한양대정문앞,1987
103000078,4177,서울숲,527
103000079,4178,서울숲,6569
103000080,4179,성동구민종합체육센터,772
103000081,4180,성동구민종합체육센터,10065
103000086,4185,성동교남단,1542
103000087,4186,성동교남단,4809
103000122,4223,뚝섬서울숲,3318
103000162,4264,뚝섬서울숲,188
103000163,4265,뚝섬서울숲남문,845
103000164,4266,뚝섬서울숲남문,260
103000165,4267,신답역명문예식장,3646
103000166,4268,신답역명문예식장,3215
103000169,4271,마장역,4595
104000001,5001,군자교입구,2307
104000002,5002,군자교입구,3458
104000047,5140,어린이대공원앞,4777
104000048,5141,능동사거리.군자역,4121
104000049,5142,구의사거리.광진소방서앞,2756
104000050,5143,어린이회관,4176
104000051,5144,구의사거리.광진소방서앞,4154
104000052,5145,광진경찰서,3787
104000054,5147,광진경찰서,1352
104000055,5148,광진구청,3225
104000082,5175,광진구청,4516
104000095,5188,자양동잠실대교북단,3129
104000101,5194,자양동잠실대교북단,5406
104000138,5231,어린이대공원역3번출구,2077
104000158,5251,어린이대공원앞.세종대학교,1561
104000159,5252,능동교회앞,1744
104000160,5253,능동사거리.군자역,6953
104000290,5233,어린이회관,2114
104000291,5192,동서울우편집중국앞,2389
105000002,6002,청년회의소,1228
105000003,6003,장한평역,3362
105000015,6015,청량리역환승센타,56807
